baseline,baseline_penalization,alwayshint,alwayshint_penalization,ppo,ppo_penalization
-0.3276,-1.7376000000000003,-1.9419999999999995,-8.972000000000001,0.50484,-2.09816
-0.35942,-1.76942,-2.1166,-9.2666,0.47357999999999995,-2.20672
-0.5383,-1.9483000000000001,-2.1247999999999996,-9.2848,0.48378,-2.1841
-0.76854,-2.12854,-2.1094,-9.249400000000001,0.49361999999999995,-2.20442
-0.7570999999999999,-2.1370999999999998,-1.9002000000000001,-8.8902,0.46546000000000004,-2.19214
-0.7573000000000001,-2.1372999999999998,-2.0928000000000004,-9.382800000000001,0.46356,-2.17642
-0.9170999999999999,-2.2571,-1.912,-9.032000000000002,0.4534,-2.20674
-1.1391,-2.4791,-1.9282,-9.048200000000001,0.48928000000000005,-2.1958399999999996
-1.1401599999999998,-2.4701599999999995,-1.9296000000000004,-9.1096,0.45494,-2.1905799999999997
-1.34926,-2.5992599999999997,-1.8942,-9.0442,0.6582400000000002,-2.23244
-1.39052,-2.6605199999999996,-1.9032000000000002,-9.063200000000002,0.67498,-2.2234
-1.5809,-2.800899999999999,-1.9032000000000002,-8.953200000000002,0.6598799999999998,-2.48296
-1.4210999999999998,-2.6810999999999994,-1.9032,-8.983200000000002,0.87304,-2.5563599999999997
-1.4031,-2.6631,-1.932,-8.982000000000001,0.8687199999999998,-2.6299599999999996
-1.6214199999999996,-2.90142,-1.7714,-8.681400000000002,0.8301599999999999,-2.7031599999999996
-1.54288,-2.84288,-1.7706,-8.620600000000001,0.7815599999999998,-2.79048
-1.5083200000000003,-2.8483199999999997,-1.6116,-8.4116,0.7445999999999999,-2.7289600000000003
-1.31452,-2.66452,-1.6117999999999997,-8.4318,0.7947399999999999,-2.7415799999999995
-1.2340199999999997,-2.5840199999999998,-1.6118000000000001,-8.401800000000001,0.7952199999999999,-2.91142
-1.44962,-2.77962,-1.5904000000000003,-8.390400000000001,0.5895199999999999,-2.93088
-1.6380400000000004,-2.9580400000000004,-1.5976000000000001,-8.4076,0.6029599999999999,-2.9598799999999996
-1.4464200000000003,-2.75642,-1.3978,-8.167800000000002,0.81856,-2.8944799999999993
-1.6237000000000001,-2.8937,-1.4380000000000002,-8.208,0.86606,-3.06592
-1.4641,-2.7441000000000004,-1.4378,-8.437800000000003,0.8653399999999999,-3.1092
-1.29486,-2.60486,-1.4376000000000002,-8.287600000000001,0.8542400000000001,-3.18478
-1.11566,-2.43566,-1.415,-8.255,0.84738,-3.1748399999999997
-1.2750599999999999,-2.59506,-1.4178,-8.277800000000001,0.8366600000000001,-3.2182399999999998
-1.4981,-2.7681,-1.2212,-8.071200000000003,0.8059000000000001,-3.2672599999999994
-1.4905,-2.7305,-1.443,-8.373,0.5996,-3.16676
-1.7132999999999998,-2.9633,-1.443,-8.293,0.55396,-3.0149199999999996
-1.5123,-2.7622999999999998,-1.4418,-8.3618,0.59198,-2.8538200000000002
-1.7061199999999999,-2.9261199999999996,-1.4232,-8.3132,0.58652,-2.6743600000000005
-1.5157000000000003,-2.7657,-1.4598000000000002,-8.3598,0.64128,-2.54436
-1.68418,-2.90418,-1.4598000000000002,-8.2498,0.8366800000000001,-2.38906
-1.62518,-2.8451800000000005,-1.462,-8.272,0.83882,-2.20698
-1.8429800000000003,-3.0429799999999996,-1.6652,-8.4152,0.8431000000000001,-2.2475400000000003
-1.85564,-3.0756399999999995,-1.8466,-8.6266,0.8761200000000001,-2.26846
-1.8211199999999999,-3.04112,-2.0576000000000003,-8.9576,0.90742,-2.0600600000000004
-2.0332199999999996,-3.23322,-2.075,-8.995,0.9199400000000001,-2.18924
-1.9809199999999998,-3.23092,-2.2576,-9.3276,0.9183600000000002,-2.2310800000000004
-1.9801199999999997,-3.25012,-2.2576,-9.457600000000001,1.1061800000000002,-1.9498600000000001
-1.94822,-3.1882199999999994,-2.2576,-9.4476,1.1223400000000003,-1.9398600000000001
-1.9115599999999997,-3.1015599999999997,-2.4244,-9.5944,1.16846,-1.88406
-1.93736,-3.18736,-2.4030000000000005,-9.573,1.17658,-1.9865800000000002
-1.9274799999999999,-3.1774800000000005,-2.3714000000000004,-9.5314,1.4131,-2.12026
-1.92828,-3.1582799999999995,-2.4114,-9.561399999999999,1.44908,-2.2616
-1.96436,-3.18436,-2.3992000000000004,-9.5192,1.65468,-2.2782
